n	row_ratio	col_ratio	offset
16006	4.655379232787705	4.655441709358991	1
16291	4.656313301823093	4.65643606899515	2
16577	4.657597876575979	4.65783917476021	4
16863	4.657712150862836	4.658008658008658	5
17149	4.658930549886291	4.659222112076506	5
17435	4.661026670490393	4.661141382277029	2
17720	4.662020316027088	4.662076749435666	1
18006	4.665167166500056	4.6652782405864714	2
18292	4.666575552153947	4.66668488956921	2
18578	4.670416621810744	4.670470448918075	1
18864	4.671808736217133	4.671967769296014	3
19149	4.6726722022037706	4.6727766463000675	2
19435	4.675482377154618	4.675533830717777	1
19721	4.675574260940115	4.675624968307895	1
20007	4.67616334283001	4.676213325336132	1
20292	4.677212694657993	4.67736053617189	3
20578	4.677665467975507	4.6777140635630285	1
20864	4.6803585122699385	4.680502300613497	3
21150	4.682222222222222	4.6822695035461	1
21436	4.682683336443366	4.682729986937861	1
21721	4.685327563187698	4.685373601583721	1
22007	4.689644204116872	4.689825964465852	4
22293	4.6915623738393215	4.691607230969362	1
22579	4.6923690154568405	4.692546171221046	4
22865	4.695692105838618	4.695735840804724	1
23150	4.700518358531317	4.700647948164147	3
23436	4.701058201058201	4.70110087045571	1
23722	4.7017958013658205	4.701880111289099	2
24008	4.704890036654448	4.70497334221926	2
24294	4.708034905738042	4.708076068164979	1
24579	4.709223320720941	4.709345376134098	3
24865	4.709913533078624	4.7100341845968225	3
25151	4.71261580056459	4.7126953202655955	2
25437	4.714510358925974	4.71454967173802	1
25723	4.71410799673444	4.714185748163122	2
26008	4.714280221470317	4.714357120885881	2
26294	4.7138130371947975	4.713965163155092	4
26580	4.716365688487585	4.71640331075997	1
26866	4.719422318171667	4.719459539938956	1
27152	4.720646729522687	4.720683559222157	1
27437	4.722418631774611	4.722491526041477	2
27723	4.724344407170941	4.724452620567759	3
28009	4.7243029026384376	4.724410011067871	3
28295	4.726877540201449	4.72698356600106	3
28581	4.7286658969245305	4.728700885203457	1
28866	4.729924478625373	4.730028407122567	3
29152	4.732059549945116	4.732128155872667	2
29438	4.7352061960731024	4.73527413547116	2
29724	4.736273718207509	4.73630736105504	1
30010	4.736987670776408	4.737054315228257	2
30295	4.739032843703582	4.739098861198218	2
30581	4.740230862300121	4.740263562342631	1
30867	4.74130948909839	4.741406680273431	3
31153	4.742496709787179	4.742560909061727	2
31439	4.742835331912593	4.742867139540062	1
31724	4.742497793468667	4.742560837221031	2
